feature,dtype,tier,prediction_available
n_genetics_sources,float64,4_INTRINSIC_deployable,True
cv_n_variants,int64,4_INTRINSIC_deployable,True
cv_n_pathogenic,float64,4_INTRINSIC_deployable,True
cv_n_vus,float64,4_INTRINSIC_deployable,True
cv_has_pathogenic,int64,4_INTRINSIC_deployable,True
cv_pathogenic_frac,float64,4_INTRINSIC_deployable,True
gnomad_oe_lof,float64,4_INTRINSIC_deployable,True
gnomad_oe_lof_upper,float64,4_INTRINSIC_deployable,True
gnomad_oe_mis,float64,4_INTRINSIC_deployable,True
gnomad_lof_z,float64,4_INTRINSIC_deployable,True
gnomad_lof_pLI,float64,4_INTRINSIC_deployable,True
gnomad_lof_constrained,int32,4_INTRINSIC_deployable,True
gtex_brain_mean_tpm,float64,4_INTRINSIC_deployable,True
gtex_brain_max_tpm,float64,4_INTRINSIC_deployable,True
gtex_brain_expressed,float64,4_INTRINSIC_deployable,True
gtex_brain_specificity,float64,4_INTRINSIC_deployable,True
label_approved,float64,0_LABEL,False
label_in_use,float64,0_LABEL,False
label_indication_withdrawn,float64,0_LABEL,False
pos_substate_covered,int64,0_LABEL,False
